PassengerId,Survived,Pclass,Age,SibSp,Parch,Fare
398,0,2,46.0,0,0,26.0
731,1,1,29.0,0,0,211.3375
222,0,2,27.0,0,0,13.0
350,0,3,42.0,0,0,8.6625
814,0,3,6.0,4,2,31.275
536,1,2,7.0,0,2,26.25
383,0,3,32.0,0,0,7.925
692,1,3,4.0,0,1,13.4167
221,1,3,16.0,0,0,8.05
867,1,2,27.0,1,0,13.8583
588,1,1,60.0,1,1,79.2
107,1,3,21.0,0,0,7.65
272,1,3,25.0,0,0,0.0
854,1,1,16.0,0,1,39.4
697,0,3,44.0,0,0,8.05
519,1,2,36.0,1,0,26.0
610,1,1,40.0,0,0,153.4625
103,0,1,21.0,0,1,77.2875
28,0,1,19.0,3,2,263.0
17,0,3,2.0,4,1,29.125
563,0,2,28.0,0,0,13.5
734,0,2,23.0,0,0,13.0
420,0,3,10.0,0,2,24.15
363,0,3,45.0,0,1,14.4542
890,1,1,26.0,0,0,30.0
413,1,1,33.0,1,0,90.0
544,1,2,32.0,1,0,26.0
323,1,2,30.0,0,0,12.35
172,0,3,4.0,4,1,29.125
533,0,3,17.0,1,1,7.2292
402,0,3,26.0,0,0,8.05
44,1,2,3.0,1,2,41.5792
397,0,3,31.0,0,0,7.8542
442,0,3,20.0,0,0,9.5
11,1,3,4.0,1,1,16.7
313,0,2,26.0,1,1,26.0
26,1,3,38.0,1,5,31.3875
276,1,1,63.0,1,0,77.9583
808,0,3,18.0,0,0,7.775
874,0,3,47.0,0,0,9.0
440,0,2,31.0,0,0,10.5
750,0,3,31.0,0,0,7.75
253,0,1,62.0,0,0,26.55
577,1,2,34.0,0,0,13.0
119,0,1,24.0,0,1,247.5208
388,1,2,36.0,0,0,13.0
674,1,2,31.0,0,0,13.0
497,1,1,54.0,1,0,78.2667
229,0,2,18.0,0,0,13.0
724,0,2,50.0,0,0,13.0
870,1,3,4.0,1,1,11.1333
193,1,3,19.0,1,0,7.8542
98,1,1,23.0,0,1,63.3583
438,1,2,24.0,2,3,18.75
345,0,2,36.0,0,0,13.0
90,0,3,24.0,0,0,8.05
502,0,3,21.0,0,0,7.75
234,1,3,5.0,4,2,31.3875
339,1,3,45.0,0,0,8.05
293,0,2,36.0,0,0,12.875
114,0,3,20.0,1,0,9.825
758,0,2,18.0,0,0,11.5
147,1,3,27.0,0,0,7.7958
156,0,1,51.0,0,1,61.3792
736,0,3,28.5,0,0,16.1
295,0,3,24.0,0,0,7.8958
1,0,3,22.0,1,0,7.25
882,0,3,33.0,0,0,7.8958
443,0,3,25.0,1,0,7.775
632,0,3,51.0,0,0,7.0542
510,1,3,26.0,0,0,56.4958
346,1,2,24.0,0,0,13.0
146,0,2,19.0,1,1,36.75
284,1,3,19.0,0,0,8.05
656,0,2,24.0,2,0,73.5
559,1,1,39.0,1,1,79.65
342,1,1,24.0,3,2,263.0
655,0,3,18.0,0,0,6.75
180,0,3,36.0,0,0,0.0
652,1,2,18.0,0,1,23.0
495,0,3,21.0,0,0,8.05
809,0,2,39.0,0,0,13.0
659,0,2,23.0,0,0,13.0
334,0,3,16.0,2,0,18.0
618,0,3,26.0,1,0,16.1
642,1,1,24.0,0,0,69.3
62,1,1,38.0,0,0,80.0
326,1,1,36.0,0,0,135.6333
244,0,3,22.0,0,0,7.125
891,0,3,32.0,0,0,7.75
751,1,2,4.0,1,1,23.0
136,0,2,23.0,0,0,15.0458
615,0,3,35.0,0,0,8.05
676,0,3,18.0,0,0,7.775
425,0,3,18.0,1,1,20.2125
128,1,3,24.0,0,0,7.1417
462,0,3,34.0,0,0,8.05
802,1,2,31.0,1,1,26.25
689,0,3,18.0,0,0,7.7958
223,0,3,51.0,0,0,8.05
381,1,1,42.0,0,0,227.525
611,0,3,39.0,1,5,31.275
858,1,1,51.0,0,0,26.55
189,0,3,40.0,1,1,15.5
154,0,3,40.5,0,2,14.5
825,0,3,2.0,4,1,39.6875
778,1,3,5.0,0,0,12.475
231,1,1,35.0,1,0,83.475
567,0,3,19.0,0,0,7.8958
789,1,3,1.0,1,2,20.575
880,1,1,56.0,0,1,83.1583
451,0,2,36.0,1,2,27.75
400,1,2,28.0,0,0,12.65
823,0,1,38.0,0,0,0.0
178,0,1,50.0,0,0,28.7125
176,0,3,18.0,1,1,7.8542
866,1,2,42.0,0,0,13.0
399,0,2,23.0,0,0,10.5
23,1,3,15.0,0,0,8.0292
216,1,1,31.0,1,0,113.275
729,0,2,25.0,1,0,26.0
391,1,1,36.0,1,2,120.0
832,1,2,0.83,1,1,18.75
14,0,3,39.0,1,5,31.275
382,1,3,1.0,0,2,15.7417
34,0,2,66.0,0,0,10.5
673,0,2,70.0,0,0,10.5
212,1,2,35.0,0,0,21.0
749,0,1,19.0,1,0,53.1
844,0,3,34.5,0,0,6.4375
309,0,2,30.0,1,0,24.0
374,0,1,22.0,0,0,135.6333
821,1,1,52.0,1,1,93.5
340,0,1,45.0,0,0,35.5
194,1,2,3.0,1,1,26.0
157,1,3,16.0,0,0,7.7333
625,0,3,21.0,0,0,16.1
427,1,2,28.0,1,0,26.0
358,0,2,38.0,0,0,13.0
143,1,3,24.0,1,0,15.85
687,0,3,14.0,4,1,39.6875
217,1,3,27.0,0,0,7.925
633,1,1,32.0,0,0,30.5
578,1,1,39.0,1,0,55.9
75,1,3,32.0,0,0,56.4958
587,0,2,47.0,0,0,15.0
277,0,3,45.0,0,0,7.75
349,1,3,3.0,1,1,15.9
21,0,2,35.0,0,0,26.0
537,0,1,45.0,0,0,26.55
401,1,3,39.0,0,0,7.925
319,1,1,31.0,0,2,164.8667
551,1,1,17.0,0,2,110.8833
856,1,3,18.0,0,1,9.35
237,0,2,44.0,1,0,26.0
743,1,1,21.0,2,2,262.375
792,0,2,16.0,0,0,26.0
490,1,3,9.0,1,1,15.9
120,0,3,2.0,4,2,31.275
225,1,1,38.0,1,0,90.0
378,0,1,27.0,0,2,211.5
566,0,3,24.0,2,0,24.15
727,1,2,30.0,3,0,21.0
629,0,3,26.0,0,0,7.8958
627,0,2,57.0,0,0,12.35
790,0,1,46.0,0,0,79.2
568,0,3,29.0,0,4,21.075
7,0,1,54.0,0,0,51.8625
875,1,2,28.0,1,0,24.0
61,0,3,22.0,0,0,7.2292
883,0,3,22.0,0,0,10.5167
682,1,1,27.0,0,0,76.7292
214,0,2,30.0,0,0,13.0
19,0,3,31.0,1,0,18.0
64,0,3,4.0,3,2,27.9
863,1,1,48.0,0,0,25.9292
818,0,2,31.0,1,1,37.0042
4,1,1,35.0,1,0,53.1
595,0,2,37.0,1,0,26.0
545,0,1,50.0,1,0,106.425
395,1,3,24.0,0,2,16.7
822,1,3,27.0,0,0,8.6625
353,0,3,15.0,1,1,7.2292
123,0,2,32.5,1,0,30.0708
356,0,3,28.0,0,0,9.5
626,0,1,61.0,0,0,32.3208
281,0,3,65.0,0,0,7.75
35,0,1,28.0,1,0,82.1708
855,0,2,44.0,1,0,26.0
328,1,2,36.0,0,0,13.0
68,0,3,19.0,0,0,8.1583
454,1,1,49.0,1,0,89.1042
286,0,3,33.0,0,0,8.6625
52,0,3,21.0,0,0,7.8
198,0,3,42.0,0,1,8.4042
294,0,3,24.0,0,0,8.85
857,1,1,45.0,1,1,164.8667
470,1,3,0.75,2,1,19.2583
463,0,1,47.0,0,0,38.5
219,1,1,32.0,0,0,76.2917
759,0,3,34.0,0,0,8.05
637,0,3,32.0,0,0,7.925
666,0,2,32.0,2,0,73.5
243,0,2,29.0,0,0,10.5
762,0,3,41.0,0,0,7.125
772,0,3,48.0,0,0,7.8542
562,0,3,40.0,0,0,7.8958
881,1,2,25.0,0,1,26.0
593,0,3,47.0,0,0,7.25
862,0,2,21.0,1,0,11.5
748,1,2,30.0,0,0,13.0
770,0,3,32.0,0,0,8.3625
89,1,1,23.0,3,2,263.0
584,0,1,36.0,0,0,40.125
211,0,3,24.0,0,0,7.05
592,1,1,52.0,1,0,78.2667
205,1,3,18.0,0,0,8.05
387,0,3,1.0,5,2,46.9
240,0,2,33.0,0,0,12.275
635,0,3,9.0,3,2,27.9
456,1,3,29.0,0,0,7.8958
481,0,3,9.0,5,2,46.9
807,0,1,39.0,0,0,0.0
653,0,3,21.0,0,0,8.4333
192,0,2,19.0,0,0,13.0
696,0,2,52.0,0,0,13.5
735,0,2,23.0,0,0,13.0
282,0,3,28.0,0,0,7.8542
607,0,3,30.0,0,0,7.8958
718,1,2,27.0,0,0,10.5
132,0,3,20.0,0,0,7.05
531,1,2,2.0,1,1,26.0
529,0,3,39.0,0,0,7.925
703,0,3,18.0,0,1,14.4542
730,0,3,25.0,1,0,7.925
97,0,1,71.0,0,0,34.6542
145,0,2,18.0,0,0,11.5
513,1,1,36.0,0,0,26.2875
861,0,3,41.0,2,0,14.1083
149,0,2,36.5,0,2,26.0
71,0,2,32.0,0,0,10.5
191,1,2,32.0,0,0,13.0
507,1,2,33.0,0,2,26.0
843,1,1,30.0,0,0,31.0
258,1,1,30.0,0,0,86.5
608,1,1,27.0,0,0,30.5
647,0,3,19.0,0,0,7.8958
766,1,1,51.0,1,0,77.9583
695,0,1,60.0,0,0,26.55
10,1,2,14.0,1,0,30.0708
726,0,3,20.0,0,0,8.6625
51,0,3,7.0,4,1,39.6875
572,1,1,53.0,2,0,51.4792
174,0,3,21.0,0,0,7.925
317,1,2,24.0,1,0,26.0
380,0,3,19.0,0,0,7.775
679,0,3,43.0,1,6,46.9
683,0,3,20.0,0,0,9.225
461,1,1,48.0,0,0,26.55
79,1,2,0.83,0,2,29.0
140,0,1,24.0,0,0,79.2
650,1,3,23.0,0,0,7.55
661,1,1,50.0,2,0,133.65
799,0,3,30.0,0,0,7.2292
327,0,3,61.0,0,0,6.2375
834,0,3,23.0,0,0,7.8542
373,0,3,19.0,0,0,8.05
606,0,3,36.0,1,0,15.55
521,1,1,30.0,0,0,93.5
190,0,3,36.0,0,0,7.8958
546,0,1,64.0,0,0,26.0
846,0,3,42.0,0,0,7.55
555,1,3,22.0,0,0,7.775
851,0,3,4.0,4,2,31.275
332,0,1,45.5,0,0,28.5
781,1,3,13.0,0,0,7.2292
448,1,1,34.0,0,0,26.55
797,1,1,49.0,0,0,25.9292
53,1,1,49.0,1,0,76.7292
158,0,3,30.0,0,0,8.05
535,0,3,30.0,0,0,8.6625
524,1,1,44.0,0,1,57.9792
620,0,2,26.0,0,0,10.5
384,1,1,35.0,1,0,52.0
247,0,3,25.0,0,0,7.775
439,0,1,64.0,1,4,263.0
185,1,3,4.0,0,2,22.025
184,1,2,1.0,2,1,39.0
662,0,3,40.0,0,0,7.225
871,0,3,26.0,0,0,7.8958
678,1,3,18.0,0,0,9.8417
436,1,1,14.0,1,2,120.0
586,1,1,18.0,0,2,79.65
404,0,3,28.0,1,0,15.85
232,0,3,29.0,0,0,7.775
153,0,3,55.5,0,0,8.05
760,1,1,33.0,0,0,86.5
179,0,2,30.0,0,0,13.0
852,0,3,74.0,0,0,7.775
246,0,1,44.0,2,0,90.0
347,1,2,40.0,0,0,13.0
367,1,1,60.0,1,0,75.25
504,0,3,37.0,0,0,9.5875
152,1,1,22.0,1,0,66.6
228,0,3,20.5,0,0,7.25
252,0,3,29.0,1,1,10.4625
552,0,2,27.0,0,0,26.0
310,1,1,30.0,0,0,56.9292
522,0,3,22.0,0,0,7.8958
796,0,2,39.0,0,0,13.0
162,1,2,40.0,0,0,15.75
506,0,1,18.0,1,0,108.9
848,0,3,35.0,0,0,7.8958
700,0,3,42.0,0,0,7.65
273,1,2,41.0,0,1,19.5
812,0,3,39.0,0,0,24.15
686,0,2,25.0,1,2,41.5792
815,0,3,30.5,0,0,8.05
694,0,3,25.0,0,0,7.225
485,1,1,25.0,1,0,91.0792
865,0,2,24.0,0,0,13.0
645,1,3,0.75,2,1,19.2583
333,0,1,38.0,0,1,153.4625
556,0,1,62.0,0,0,26.55
628,1,1,21.0,0,0,77.9583
142,1,3,22.0,0,0,7.75
289,1,2,42.0,0,0,13.0
780,1,1,43.0,0,1,211.3375
468,0,1,56.0,0,0,26.55
290,1,3,22.0,0,0,7.75
737,0,3,48.0,1,3,34.375
396,0,3,22.0,0,0,7.7958
516,0,1,47.0,0,0,34.0208
801,0,2,34.0,0,0,13.0
447,1,2,13.0,0,1,19.5
322,0,3,27.0,0,0,7.8958
351,0,3,23.0,0,0,9.225
473,1,2,33.0,1,2,27.75
483,0,3,50.0,0,0,8.05
280,1,3,35.0,1,1,20.25
849,0,2,28.0,0,1,33.0
732,0,3,11.0,0,0,18.7875
598,0,3,49.0,0,0,0.0
435,0,1,50.0,1,0,55.9
639,0,3,41.0,0,5,39.6875
878,0,3,19.0,0,0,7.8958
824,1,3,27.0,0,1,12.475
806,0,3,31.0,0,0,7.775
763,1,3,20.0,0,0,7.2292
755,1,2,48.0,1,2,65.0
702,1,1,35.0,0,0,26.2875
111,0,1,47.0,0,0,52.0
303,0,3,19.0,0,0,0.0
201,0,3,28.0,0,0,9.5
664,0,3,36.0,0,0,7.4958
50,0,3,18.0,1,0,17.8
684,0,3,14.0,5,2,46.9
213,0,3,22.0,0,0,7.25
765,0,3,16.0,0,0,7.775
756,1,2,0.67,1,1,14.5
842,0,2,16.0,0,0,10.5
121,0,2,21.0,2,0,73.5
709,1,1,22.0,0,0,151.55
298,0,1,2.0,1,2,151.55
723,0,2,34.0,0,0,13.0
582,1,1,39.0,1,1,110.8833
699,0,1,49.0,1,1,110.8833
786,0,3,25.0,0,0,7.25
256,1,3,29.0,0,2,15.2458
493,0,1,55.0,0,0,30.5
500,0,3,24.0,0,0,7.7958
757,0,3,28.0,0,0,7.7958
270,1,1,35.0,0,0,135.6333
5,0,3,35.0,0,0,8.05
800,0,3,30.0,1,1,24.15
690,1,1,15.0,0,1,211.3375
125,0,1,54.0,0,1,77.2875
722,0,3,17.0,1,0,7.0542
511,1,3,29.0,0,0,7.75
636,1,2,28.0,0,0,13.0
63,0,1,45.0,1,0,83.475
42,0,2,27.0,1,0,21.0
249,1,1,37.0,1,1,52.5542
168,0,3,45.0,1,4,27.9
36,0,1,42.0,1,0,52.0
788,0,3,8.0,4,1,29.125
287,1,3,30.0,0,0,9.5
621,0,3,27.0,1,0,14.4542
475,0,3,22.0,0,0,9.8375
361,0,3,40.0,1,4,27.9
527,1,2,50.0,0,0,10.5
492,0,3,21.0,0,0,7.25
746,0,1,70.0,1,1,71.0
631,1,1,80.0,0,0,30.0
173,1,3,1.0,1,1,11.1333
82,1,3,29.0,0,0,9.5
596,0,3,36.0,1,1,24.15
161,0,3,44.0,0,1,16.1
868,0,1,31.0,0,0,50.4958
660,0,1,58.0,0,2,113.275
85,1,2,17.0,0,0,10.5
16,1,2,55.0,0,0,16.0
196,1,1,58.0,0,0,146.5208
55,0,1,65.0,0,1,61.9792
624,0,3,21.0,0,0,7.8542
477,0,2,34.0,1,0,21.0
233,0,2,59.0,0,0,13.5
269,1,1,58.0,0,1,153.4625
70,0,3,26.0,2,0,8.6625
422,0,3,21.0,0,0,7.7333
371,1,1,25.0,1,0,55.4417
315,0,2,43.0,1,1,26.25
583,0,2,54.0,0,0,26.0
576,0,3,19.0,0,0,14.5
888,1,1,19.0,0,0,30.0
337,0,1,29.0,1,0,66.6
250,0,2,54.0,1,0,26.0
204,0,3,45.5,0,0,7.225
701,1,1,18.0,1,0,227.525
505,1,1,16.0,0,0,86.5
605,1,1,35.0,0,0,26.55
134,1,2,29.0,1,0,26.0
713,1,1,48.0,1,0,52.0
489,0,3,30.0,0,0,8.05
2,1,1,38.0,1,0,71.2833
835,0,3,18.0,0,0,8.3
707,1,2,45.0,0,0,13.5
104,0,3,33.0,0,0,8.6542
255,0,3,41.0,0,2,20.2125
45,1,3,19.0,0,0,7.8792
643,0,3,2.0,3,2,27.9
540,1,1,22.0,0,2,49.5
575,0,3,16.0,0,0,8.05
457,0,1,65.0,0,0,26.55
117,0,3,70.5,0,0,7.75
424,0,3,28.0,1,1,14.4
711,1,1,24.0,0,0,49.5042
433,1,2,42.0,1,0,26.0
300,1,1,50.0,0,1,247.5208
15,0,3,14.0,0,0,7.8542
394,1,1,23.0,1,0,113.275
754,0,3,23.0,0,0,7.8958
487,1,1,35.0,1,0,90.0
341,1,2,2.0,1,1,26.0
209,1,3,16.0,0,0,7.75
884,0,2,28.0,0,0,10.5
810,1,1,33.0,1,0,53.1
616,1,2,24.0,1,2,65.0
872,1,1,47.0,1,1,52.5542
638,0,2,31.0,1,1,26.25
306,1,1,0.92,1,2,151.55
714,0,3,29.0,0,0,9.4833
708,1,1,42.0,0,0,26.2875
235,0,2,24.0,0,0,10.5
604,0,3,44.0,0,0,8.05
646,1,1,48.0,1,0,76.7292
76,0,3,25.0,0,0,7.65
601,1,2,24.0,2,1,27.0
706,0,2,39.0,0,0,26.0
316,1,3,26.0,0,0,7.8542
25,0,3,8.0,3,1,21.075
392,1,3,21.0,0,0,7.7958
581,1,2,25.0,1,1,30.0
203,0,3,34.0,0,0,6.4958
344,0,2,25.0,0,0,13.0
238,1,2,8.0,0,2,26.25
484,1,3,63.0,0,0,9.5875
520,0,3,32.0,0,0,7.8958
623,1,3,20.0,1,1,15.7417
430,1,3,32.0,0,0,8.05
386,0,2,18.0,0,0,73.5
828,1,2,1.0,0,2,37.0042
163,0,3,26.0,0,0,7.775
831,1,3,15.0,1,0,14.4542
126,1,3,12.0,1,0,11.2417
466,0,3,38.0,0,0,7.05
113,0,3,22.0,0,0,8.05
580,1,3,32.0,0,0,7.925
409,0,3,21.0,0,0,7.775
267,0,3,16.0,4,1,39.6875
589,0,3,22.0,0,0,8.05
151,0,2,51.0,0,0,12.525
771,0,3,24.0,0,0,9.5
24,1,1,28.0,0,0,35.5
876,1,3,15.0,0,0,7.225
93,0,1,46.0,1,0,61.175
135,0,2,25.0,0,0,13.0
338,1,1,41.0,0,0,134.5
549,0,3,33.0,1,1,20.525
131,0,3,33.0,0,0,7.8958
